time/fps,time/total_timesteps,time/episodes,train/learning_rate,train/critic_loss,time/time_elapsed,rollout/success_rate,train/actor_loss,train/n_updates,rollout/ep_rew_mean,rollout/ep_len_mean
120,6850,470,0.001,0.0016237697564065456,57,0.96,0.18917155265808105,6785,-0.5560512,6.05
120,6889,480,0.001,0.0015222605143208057,57,0.96,0.19266650825738907,6821,-0.5540395899999999,6.06
120,6927,490,0.001,0.0021506525343284013,57,0.97,0.24118301272392273,6861,-0.5018468500000001,5.46
119,6969,500,0.001,0.0016734220553189516,58,0.97,0.19386230409145355,6898,-0.4901653999999999,5.38
119,6995,510,0.001,0.0018497700802981853,58,0.98,0.15344013646245003,6929,-0.43874888999999995,4.8
119,7034,520,0.001,0.002446436556056142,58,0.98,0.16929247975349426,6965,-0.44391743,4.78
119,7071,530,0.001,0.0018167502130381763,59,0.98,0.14982659369707108,7006,-0.44261108,4.79
119,7102,540,0.001,0.0013964487006887794,59,0.98,0.16198604553937912,7035,-0.4106494300000001,4.57
119,7140,550,0.001,0.0017416452174074948,59,0.99,0.21821323037147522,7070,-0.38007225999999994,4.11
119,7233,560,0.001,0.0022438557352870703,60,0.99,0.18881957978010178,7166,-0.37098314999999993,4.07
119,7279,570,0.001,0.0015523240726906806,61,0.99,0.15535248443484306,7213,-0.40343637,4.29
119,7321,580,0.001,0.0020140164415352046,61,0.99,0.18623901903629303,7254,-0.41015005000000004,4.32
119,7366,590,0.001,0.0013964127671594422,61,0.99,0.13221200928092003,7298,-0.4140587600000001,4.39
119,7400,600,0.001,0.0018346042682727177,62,0.99,0.17750569432973862,7334,-0.40850532,4.31
118,7437,610,0.001,0.0022630620514974,62,0.99,0.18292735517024994,7370,-0.42568103,4.42
118,7484,620,0.001,0.001084183866623789,62,0.99,0.08941972255706787,7412,-0.4326470799999999,4.5
118,7517,630,0.001,0.001252769841812551,63,0.99,0.11966349184513092,7446,-0.42708395000000005,4.46
118,7550,640,0.001,0.0016481459606438875,63,0.99,0.1412147432565689,7485,-0.4332314100000001,4.48
118,7593,650,0.001,0.0014825475169345736,63,0.99,0.17412229627370834,7522,-0.4402743200000001,4.53
118,7639,660,0.001,0.0017804914580968518,64,1.0,0.18556463718414307,7567,-0.41287493,4.06
118,7670,670,0.001,0.0015634043607860803,64,1.0,0.13515247652928034,7600,-0.38870256,3.91
118,7713,680,0.001,0.0016777130076661706,65,1.0,0.18568545207381248,7648,-0.38719161,3.92
118,7745,690,0.001,0.001505538122728467,65,1.0,0.13462981581687927,7676,-0.37348853000000004,3.79
118,7779,700,0.001,0.0015961049357429147,65,1.0,0.24148929119110107,7712,-0.3726544799999999,3.79
118,7819,710,0.001,0.0012069116928614676,66,1.0,0.17180894315242767,7751,-0.37599830999999995,3.82
118,7845,720,0.001,0.0011746940629867215,66,1.0,0.14173076301813126,7778,-0.35146577,3.61
118,7879,730,0.001,0.0011828202987089753,66,1.0,0.1268303021788597,7810,-0.34665702000000004,3.62
118,7907,740,0.001,0.001631298412879308,66,1.0,0.18569860607385635,7840,-0.33737987999999997,3.57
118,7945,750,0.001,0.002338052300425867,67,1.0,0.17486931383609772,7878,-0.3287141800000001,3.52
117,7990,760,0.001,0.0016197220422327519,67,1.0,0.15312971423069635,7924,-0.3283642,3.51
117,8034,770,0.001,0.0011726379743777215,68,1.0,0.11872462183237076,7967,-0.34409384000000004,3.64
117,8067,780,0.001,0.001813216251321137,68,1.0,0.1607702076435089,7997,-0.32994693999999997,3.54
117,8098,790,0.001,0.0027811480686068535,69,1.0,0.15556783974170685,8030,-0.32625225999999996,3.53
117,8138,800,0.001,0.001556670603652795,69,1.0,0.18173926075299582,8071,-0.33211813,3.59
117,8178,810,0.001,0.0023515358567237853,69,1.0,0.15264501670996347,8108,-0.33081862,3.59
116,8215,820,0.001,0.003417536849156022,70,1.0,0.14086725190281868,8149,-0.34437417000000003,3.7
116,8256,830,0.001,0.0016455295262858272,70,1.0,0.13512510061264038,8189,-0.3567760700000001,3.77
116,8293,840,0.001,0.0022329269808584024,70,1.0,0.14349317799011865,8227,-0.36796709,3.86
116,8326,850,0.001,0.001168004023687293,71,1.0,0.13034973790248236,8259,-0.35899157000000004,3.81
116,8362,860,0.001,0.0012393250362947583,71,1.0,0.15926583111286163,8296,-0.34417562999999995,3.72
116,8405,870,0.001,0.0014385210427766044,72,1.0,0.13658540695905685,8338,-0.34320957,3.71
116,8447,880,0.001,0.0010305142059223726,72,1.0,0.20082509517669678,8377,-0.35516068000000006,3.8
116,8481,890,0.001,0.0017089797765947878,72,1.0,0.16163215041160583,8414,-0.36148326999999997,3.83
116,8527,900,0.001,0.001714921595218281,73,1.0,0.1469133347272873,8460,-0.3730422399999999,3.89
116,8559,910,0.001,0.0018059930298477411,73,1.0,0.1842391937971115,8489,-0.35985563,3.81
116,8613,920,0.001,0.0012987812224309891,73,1.0,0.15597466379404068,8544,-0.37984849000000004,3.98
116,8651,930,0.001,0.0009869621135294437,74,1.0,0.1425766795873642,8585,-0.37631456,3.95
